货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间
美元,711.26,711.26,714.1,714.1,710.9,2024.10.27 10:30:00
美元,711.26,711.26,714.1,714.1,710.9,2024.10.27 05:30:00
美元,711.26,711.26,714.1,714.1,710.9,2024.10.27 05:30:00
美元,711.26,711.26,714.1,714.1,710.9,2024.10.27 00:00:05
